bin_id,timestamp,day_of_week,hour,previous_waste_level,temperature,rainfall,collection_history_hours,waste_type,waste_level
BIN-103,2026-09-22T04:00:00,1,4,21,8.7,0.0,9,ELECTRONIC,24
BIN-120,2026-09-10T08:00:00,3,8,30,15.9,0.0,35,RECYCLABLE,60
BIN-122,2026-09-15T04:00:00,1,4,71,7.9,0.0,29,GENERAL,81
BIN-118,2026-09-06T05:00:00,6,5,5,7.6,0.0,15,ELECTRONIC,9
BIN-108,2026-09-02T18:00:00,2,18,14,19.1,0.0,22,ORGANIC,55
BIN-124,2026-09-21T06:00:00,0,6,65,10.0,0.0,37,ELECTRONIC,74
BIN-114,2026-09-05T09:00:00,5,9,60,16.5,0.0,7,ORGANIC,69
BIN-121,2026-09-15T02:00:00,1,2,56,7.9,0.0,4,ORGANIC,57
BIN-104,2026-09-06T15:00:00,6,15,73,22.5,0.0,13,RECYCLABLE,83
BIN-103,2026-09-10T18:00:00,3,18,11,19.6,0.0,7,ELECTRONIC,21
BIN-101,2026-09-22T00:00:00,1,0,26,7.7,0.0,16,ORGANIC,48
BIN-106,2026-09-09T10:00:00,2,10,38,20.7,0.0,25,ORGANIC,66
BIN-110,2026-09-10T08:00:00,3,8,67,13.6,0.0,43,ELECTRONIC,100
BIN-118,2026-09-02T15:00:00,2,15,11,23.1,0.0,4,GENERAL,15
BIN-117,2026-09-04T16:00:00,4,16,15,23.3,0.3,33,ORGANIC,56
BIN-119,2026-09-06T14:00:00,6,14,10,23.5,0.0,39,ELECTRONIC,59
BIN-119,2026-09-13T09:00:00,6,9,38,15.9,0.0,21,ELECTRONIC,55
BIN-122,2026-09-15T02:00:00,1,2,45,8.7,0.0,30,GENERAL,56
BIN-101,2026-09-11T02:00:00,4,2,17,5.3,0.0,37,ELECTRONIC,26
BIN-103,2026-09-20T02:00:00,6,2,41,5.6,0.0,24,RECYCLABLE,50
BIN-123,2026-09-07T18:00:00,0,18,72,17.0,0.0,42,ELECTRONIC,100
BIN-105,2026-09-06T23:00:00,6,23,75,8.0,0.0,7,ORGANIC,86
BIN-107,2026-09-16T15:00:00,2,15,38,22.7,0.0,14,GENERAL,54
BIN-121,2026-09-10T08:00:00,3,8,5,14.3,4.4,3,GENERAL,10
BIN-106,2026-09-17T03:00:00,3,3,59,7.5,4.3,36,HAZARDOUS,69
BIN-102,2026-09-19T03:00:00,5,3,75,5.9,1.4,38,GENERAL,87
BIN-102,2026-09-20T12:00:00,6,12,36,22.6,0.0,14,GENERAL,57
BIN-120,2026-09-17T07:00:00,3,7,25,14.8,0.0,16,RECYCLABLE,37
BIN-114,2026-09-01T20:00:00,1,20,47,16.1,0.0,48,RECYCLABLE,100
BIN-108,2026-09-07T00:00:00,0,0,18,7.6,2.1,45,RECYCLABLE,53
BIN-107,2026-09-18T18:00:00,4,18,44,20.3,0.0,23,HAZARDOUS,74
BIN-113,2026-09-08T08:00:00,1,8,40,14.4,0.0,5,GENERAL,48
BIN-122,2026-09-19T07:00:00,5,7,8,11.4,0.0,22,ELECTRONIC,27
BIN-109,2026-09-02T03:00:00,2,3,60,6.7,0.0,39,ORGANIC,78
BIN-114,2026-09-14T06:00:00,0,6,54,12.6,0.2,8,ELECTRONIC,54
BIN-118,2026-09-15T23:00:00,1,23,60,7.6,0.0,24,RECYCLABLE,80
BIN-111,2026-09-14T15:00:00,0,15,20,23.6,0.0,43,GENERAL,66
BIN-113,2026-09-16T04:00:00,2,4,21,6.8,0.0,36,GENERAL,34
BIN-113,2026-09-15T18:00:00,1,18,43,18.6,0.0,40,RECYCLABLE,94
BIN-119,2026-09-14T06:00:00,0,6,61,10.8,0.0,30,GENERAL,72
BIN-116,2026-09-18T06:00:00,4,6,15,10.1,0.0,43,RECYCLABLE,25
BIN-125,2026-09-06T08:00:00,6,8,30,13.6,4.4,15,GENERAL,48
BIN-120,2026-09-19T11:00:00,5,11,58,22.2,0.0,30,ORGANIC,100
BIN-113,2026-09-06T12:00:00,6,12,5,23.5,0.0,42,RECYCLABLE,58
BIN-104,2026-09-17T22:00:00,3,22,27,12.2,0.0,15,HAZARDOUS,37
BIN-104,2026-09-11T01:00:00,4,1,72,9.2,0.0,30,RECYCLABLE,80
BIN-125,2026-09-20T08:00:00,6,8,69,14.7,0.0,40,HAZARDOUS,100
BIN-116,2026-09-10T22:00:00,3,22,40,12.1,0.0,16,GENERAL,58
BIN-121,2026-09-06T10:00:00,6,10,14,19.9,0.0,29,GENERAL,44
BIN-103,2026-09-04T06:00:00,4,6,54,11.8,0.0,15,RECYCLABLE,60
BIN-103,2026-09-10T04:00:00,3,4,74,7.9,3.7,22,HAZARDOUS,79
BIN-123,2026-09-01T18:00:00,1,18,66,17.0,0.0,25,ELECTRONIC,100
BIN-125,2026-09-09T15:00:00,2,15,74,23.9,0.0,35,HAZARDOUS,100
BIN-116,2026-09-01T22:00:00,1,22,56,11.9,0.0,22,HAZARDOUS,74
BIN-105,2026-09-14T14:00:00,0,14,55,23.4,0.0,2,ELECTRONIC,59
BIN-115,2026-09-05T05:00:00,5,5,53,8.7,0.0,17,ORGANIC,60
BIN-111,2026-09-17T13:00:00,3,13,58,21.7,0.1,18,HAZARDOUS,75
BIN-112,2026-09-06T02:00:00,6,2,10,8.0,0.0,42,ORGANIC,24
BIN-107,2026-09-19T05:00:00,5,5,24,8.3,0.0,40,ORGANIC,41
BIN-115,2026-09-16T06:00:00,2,6,26,11.4,0.0,24,GENERAL,36
BIN-123,2026-09-03T18:00:00,3,18,18,19.3,0.0,20,RECYCLABLE,41
BIN-113,2026-09-09T19:00:00,2,19,36,15.5,0.0,5,RECYCLABLE,41
BIN-122,2026-09-14T03:00:00,0,3,10,6.7,0.0,37,ORGANIC,22
BIN-111,2026-09-01T14:00:00,1,14,18,22.7,0.0,32,HAZARDOUS,61
BIN-115,2026-09-16T10:00:00,2,10,27,19.9,0.0,28,RECYCLABLE,49
BIN-118,2026-09-17T20:00:00,3,20,60,16.3,0.0,30,HAZARDOUS,100
BIN-111,2026-09-19T12:00:00,5,12,40,23.5,0.0,6,RECYCLABLE,46
BIN-113,2026-09-08T12:00:00,1,12,46,20.7,0.0,32,ORGANIC,100
BIN-109,2026-09-08T14:00:00,1,14,40,23.2,0.0,39,GENERAL,100
BIN-114,2026-09-11T18:00:00,4,18,65,19.6,0.0,16,ELECTRONIC,87
BIN-101,2026-09-03T07:00:00,3,7,56,13.7,0.0,15,GENERAL,71
BIN-117,2026-09-08T16:00:00,1,16,75,21.3,0.0,48,HAZARDOUS,100
BIN-109,2026-09-07T20:00:00,0,20,20,15.9,0.0,15,GENERAL,46
BIN-123,2026-09-05T06:00:00,5,6,66,10.1,0.0,14,RECYCLABLE,66
BIN-125,2026-09-12T12:00:00,5,12,17,23.3,0.0,19,ELECTRONIC,41
BIN-123,2026-09-12T17:00:00,5,17,10,22.6,0.0,18,RECYCLABLE,26
BIN-123,2026-09-21T11:00:00,0,11,67,19.1,1.3,41,RECYCLABLE,100
BIN-102,2026-09-06T17:00:00,6,17,13,20.3,2.8,8,HAZARDOUS,21
BIN-102,2026-09-04T13:00:00,4,13,43,21.1,0.0,37,RECYCLABLE,89
BIN-120,2026-09-18T04:00:00,4,4,71,7.6,0.0,15,ELECTRONIC,74
BIN-110,2026-09-19T16:00:00,5,16,44,22.2,4.3,28,ELECTRONIC,70
BIN-121,2026-09-05T20:00:00,5,20,15,13.6,0.3,43,GENERAL,91
BIN-101,2026-09-10T01:00:00,3,1,65,6.4,0.0,45,HAZARDOUS,75
BIN-115,2026-09-02T20:00:00,2,20,30,14.7,0.0,17,RECYCLABLE,50
BIN-121,2026-09-04T12:00:00,4,12,14,20.2,0.0,10,GENERAL,29
BIN-110,2026-09-10T16:00:00,3,16,43,22.7,0.0,30,ORGANIC,78
BIN-117,2026-09-12T20:00:00,5,20,15,15.4,0.0,29,HAZARDOUS,52
BIN-101,2026-09-03T06:00:00,3,6,7,13.0,0.0,44,RECYCLABLE,16
BIN-109,2026-09-13T15:00:00,6,15,65,22.8,0.0,12,ORGANIC,79
BIN-114,2026-09-14T21:00:00,0,21,65,12.3,0.0,6,HAZARDOUS,78
BIN-122,2026-09-03T13:00:00,3,13,57,23.5,0.0,22,RECYCLABLE,88
BIN-118,2026-09-02T02:00:00,2,2,45,6.0,3.5,6,HAZARDOUS,47
BIN-117,2026-09-18T22:00:00,4,22,74,10.8,2.3,43,ORGANIC,100
BIN-115,2026-09-17T13:00:00,3,13,39,22.9,0.0,14,ORGANIC,65
BIN-115,2026-09-20T02:00:00,6,2,8,8.9,0.0,8,HAZARDOUS,10
BIN-118,2026-09-01T15:00:00,1,15,16,21.6,0.0,27,ELECTRONIC,39
BIN-104,2026-09-11T04:00:00,4,4,24,8.1,0.0,42,ORGANIC,38
BIN-116,2026-09-11T09:00:00,4,9,75,15.6,2.7,30,RECYCLABLE,100
BIN-124,2026-09-20T02:00:00,6,2,40,8.1,0.0,5,RECYCLABLE,40
BIN-109,2026-09-18T20:00:00,4,20,43,16.3,0.0,19,ORGANIC,82
BIN-122,2026-09-11T18:00:00,4,18,73,18.9,0.0,29,RECYCLABLE,100
BIN-111,2026-09-19T21:00:00,5,21,35,13.2,0.0,45,RECYCLABLE,92
BIN-125,2026-09-10T02:00:00,3,2,65,7.8,0.0,21,ORGANIC,71
BIN-121,2026-09-04T13:00:00,4,13,21,22.7,0.0,3,HAZARDOUS,26
BIN-104,2026-09-19T23:00:00,5,23,72,11.0,0.6,7,HAZARDOUS,81
BIN-103,2026-09-11T08:00:00,4,8,55,15.6,0.0,22,GENERAL,76
BIN-122,2026-09-19T15:00:00,5,15,45,23.2,0.0,25,ELECTRONIC,63
BIN-120,2026-09-02T19:00:00,2,19,41,19.1,0.0,41,RECYCLABLE,94
BIN-114,2026-09-22T04:00:00,1,4,17,7.8,0.0,41,ORGANIC,32
BIN-102,2026-09-07T14:00:00,0,14,60,21.6,0.0,24,GENERAL,100
BIN-119,2026-09-15T21:00:00,1,21,27,11.2,0.0,11,RECYCLABLE,40
BIN-119,2026-09-04T09:00:00,4,9,37,16.9,0.0,30,RECYCLABLE,61
BIN-115,2026-09-20T13:00:00,6,13,74,21.4,0.0,44,GENERAL,100
BIN-121,2026-09-21T20:00:00,0,20,37,14.8,0.0,45,HAZARDOUS,97
BIN-113,2026-09-19T12:00:00,5,12,35,21.5,0.0,7,HAZARDOUS,43
BIN-101,2026-09-22T04:00:00,1,4,6,8.3,0.0,18,HAZARDOUS,13
BIN-124,2026-09-22T02:00:00,1,2,68,8.3,0.0,39,ORGANIC,82
BIN-112,2026-09-06T00:00:00,6,0,37,8.8,0.0,40,RECYCLABLE,68
BIN-122,2026-09-15T20:00:00,1,20,17,16.6,0.0,41,RECYCLABLE,70
BIN-119,2026-09-09T02:00:00,2,2,42,6.3,0.0,6,RECYCLABLE,45
BIN-107,2026-09-04T03:00:00,4,3,72,7.3,0.0,24,ELECTRONIC,80
BIN-116,2026-09-21T23:00:00,0,23,48,10.6,0.0,48,GENERAL,100
BIN-103,2026-09-04T08:00:00,4,8,55,16.9,0.0,44,RECYCLABLE,89
BIN-101,2026-09-06T23:00:00,6,23,63,8.8,0.0,8,ELECTRONIC,71
BIN-109,2026-09-13T19:00:00,6,19,52,15.5,0.0,41,HAZARDOUS,100
BIN-118,2026-09-08T07:00:00,1,7,13,13.5,0.0,15,ELECTRONIC,26
BIN-123,2026-09-07T18:00:00,0,18,22,17.2,4.5,8,HAZARDOUS,35
BIN-118,2026-09-04T05:00:00,4,5,52,10.0,0.0,30,HAZARDOUS,60
BIN-118,2026-09-10T06:00:00,3,6,24,12.5,0.0,48,ELECTRONIC,37
BIN-109,2026-09-02T00:00:00,2,0,61,7.9,0.0,14,GENERAL,74
BIN-112,2026-09-03T10:00:00,3,10,50,17.2,0.0,35,GENERAL,91
BIN-115,2026-09-03T06:00:00,3,6,7,9.2,0.0,42,RECYCLABLE,16
BIN-105,2026-09-18T02:00:00,4,2,13,8.3,0.0,14,ELECTRONIC,14
BIN-108,2026-09-08T08:00:00,1,8,5,14.1,0.0,39,RECYCLABLE,35
BIN-105,2026-09-12T20:00:00,5,20,19,15.6,0.1,12,GENERAL,40
BIN-111,2026-09-01T16:00:00,1,16,11,20.4,0.0,17,RECYCLABLE,24
BIN-104,2026-09-17T05:00:00,3,5,62,10.5,0.0,31,ORGANIC,75
BIN-120,2026-09-02T06:00:00,2,6,63,11.6,4.5,20,ELECTRONIC,71
BIN-113,2026-09-10T10:00:00,3,10,61,17.3,2.7,32,ORGANIC,100
BIN-121,2026-09-13T19:00:00,6,19,46,16.6,0.0,46,ELECTRONIC,100
BIN-110,2026-09-11T00:00:00,4,0,60,6.5,0.0,39,ELECTRONIC,93
BIN-125,2026-09-13T02:00:00,6,2,62,8.6,0.0,28,RECYCLABLE,67
BIN-115,2026-09-09T20:00:00,2,20,17,14.3,0.0,47,HAZARDOUS,78
BIN-122,2026-09-21T00:00:00,0,0,16,9.4,0.4,5,HAZARDOUS,24
BIN-124,2026-09-09T06:00:00,2,6,12,11.3,0.0,36,RECYCLABLE,20
BIN-112,2026-09-19T23:00:00,5,23,11,11.2,0.0,47,HAZARDOUS,50
BIN-112,2026-09-03T13:00:00,3,13,32,21.3,0.0,33,ELECTRONIC,76
BIN-118,2026-09-09T04:00:00,2,4,33,9.3,0.0,18,ORGANIC,38
BIN-125,2026-09-18T19:00:00,4,19,8,17.5,0.0,40,ELECTRONIC,60
BIN-109,2026-09-16T07:00:00,2,7,49,11.0,0.0,22,GENERAL,72
BIN-119,2026-09-15T08:00:00,1,8,23,16.0,0.0,5,HAZARDOUS,29
BIN-113,2026-09-10T06:00:00,3,6,25,10.5,0.0,22,HAZARDOUS,31
BIN-125,2026-09-21T10:00:00,0,10,15,20.5,3.4,39,ELECTRONIC,49
BIN-115,2026-09-15T10:00:00,1,10,61,18.7,0.0,32,HAZARDOUS,87
BIN-117,2026-09-03T18:00:00,3,18,19,18.1,0.0,28,GENERAL,65
BIN-102,2026-09-06T00:00:00,6,0,12,6.1,0.0,39,HAZARDOUS,44
BIN-107,2026-09-17T16:00:00,3,16,42,21.2,3.4,17,RECYCLABLE,58
BIN-123,2026-09-06T05:00:00,6,5,50,7.6,0.0,36,ELECTRONIC,60
BIN-102,2026-09-10T15:00:00,3,15,14,24.2,0.0,30,ORGANIC,48
BIN-114,2026-09-07T12:00:00,0,12,7,23.8,4.3,26,ORGANIC,58
BIN-115,2026-09-19T01:00:00,5,1,60,8.7,0.0,6,GENERAL,60
BIN-113,2026-09-19T21:00:00,5,21,48,11.8,0.0,48,GENERAL,100
BIN-103,2026-09-12T05:00:00,5,5,70,8.1,0.0,34,ORGANIC,80
BIN-121,2026-09-18T17:00:00,4,17,18,19.2,2.7,16,RECYCLABLE,35
BIN-125,2026-09-17T12:00:00,3,12,68,21.8,0.0,12,ORGANIC,89
BIN-119,2026-09-15T01:00:00,1,1,45,5.9,2.0,21,ELECTRONIC,50
BIN-110,2026-09-18T07:00:00,4,7,12,12.3,2.1,38,GENERAL,55
BIN-110,2026-09-02T23:00:00,2,23,69,8.9,0.0,40,ORGANIC,100
BIN-124,2026-09-20T10:00:00,6,10,29,18.3,0.0,29,ORGANIC,65
BIN-104,2026-09-18T15:00:00,4,15,15,22.7,1.1,46,GENERAL,66
BIN-115,2026-09-10T16:00:00,3,16,25,21.4,0.0,34,ELECTRONIC,51
BIN-122,2026-09-14T02:00:00,0,2,47,5.3,3.1,41,ORGANIC,65
BIN-110,2026-09-06T17:00:00,6,17,47,19.0,0.0,10,ELECTRONIC,56
BIN-121,2026-09-16T05:00:00,2,5,15,8.6,0.0,9,HAZARDOUS,17
BIN-111,2026-09-18T16:00:00,4,16,72,20.3,0.0,43,RECYCLABLE,100
BIN-110,2026-09-05T04:00:00,5,4,67,6.8,0.0,22,RECYCLABLE,72
BIN-105,2026-09-02T23:00:00,2,23,69,10.4,0.0,7,GENERAL,77
BIN-111,2026-09-20T00:00:00,6,0,53,6.7,3.1,9,ELECTRONIC,61
BIN-120,2026-09-18T14:00:00,4,14,61,21.2,0.0,47,RECYCLABLE,100
BIN-120,2026-09-07T09:00:00,0,9,73,16.0,0.0,15,HAZARDOUS,81
BIN-116,2026-09-20T14:00:00,6,14,61,22.8,0.0,24,RECYCLABLE,91
BIN-106,2026-09-18T18:00:00,4,18,22,20.5,2.2,39,RECYCLABLE,75
BIN-112,2026-09-13T03:00:00,6,3,71,8.7,0.0,46,ORGANIC,88
BIN-117,2026-09-04T11:00:00,4,11,33,21.9,0.0,6,HAZARDOUS,40
BIN-101,2026-09-10T04:00:00,3,4,69,7.6,0.0,26,ORGANIC,79
BIN-111,2026-09-21T04:00:00,0,4,47,9.2,1.3,46,ORGANIC,65
BIN-116,2026-09-16T04:00:00,2,4,65,7.9,0.4,46,RECYCLABLE,76
BIN-118,2026-09-21T09:00:00,0,9,59,15.5,0.0,34,ELECTRONIC,89
BIN-110,2026-09-03T22:00:00,3,22,58,11.6,0.0,16,ORGANIC,80
BIN-116,2026-09-14T01:00:00,0,1,70,7.6,0.0,2,ELECTRONIC,72
BIN-110,2026-09-10T11:00:00,3,11,50,19.6,0.0,40,ORGANIC,100
BIN-112,2026-09-02T18:00:00,2,18,69,20.1,0.0,35,ELECTRONIC,100
BIN-101,2026-09-09T15:00:00,2,15,54,24.7,0.0,3,HAZARDOUS,59
BIN-112,2026-09-06T11:00:00,6,11,47,19.2,0.0,38,ORGANIC,100
BIN-111,2026-09-18T16:00:00,4,16,64,23.9,0.0,44,RECYCLABLE,100
BIN-123,2026-09-17T21:00:00,3,21,42,11.7,0.0,3,HAZARDOUS,47
BIN-102,2026-09-08T01:00:00,1,1,55,9.2,0.0,33,GENERAL,66
BIN-107,2026-09-07T10:00:00,0,10,47,18.1,0.0,4,GENERAL,54
BIN-114,2026-09-20T07:00:00,6,7,61,14.5,0.0,48,HAZARDOUS,100
BIN-116,2026-09-09T04:00:00,2,4,15,9.0,2.7,18,ELECTRONIC,20
BIN-106,2026-09-12T23:00:00,5,23,18,7.7,0.0,21,GENERAL,40
BIN-114,2026-09-04T21:00:00,4,21,62,11.1,0.0,23,HAZARDOUS,94
BIN-112,2026-09-14T10:00:00,0,10,12,17.3,0.0,18,HAZARDOUS,25
BIN-122,2026-09-04T17:00:00,4,17,61,18.8,3.5,10,ORGANIC,77
BIN-112,2026-09-09T01:00:00,2,1,9,7.7,0.0,37,HAZARDOUS,19
BIN-125,2026-09-02T23:00:00,2,23,72,8.8,0.0,9,ELECTRONIC,79
BIN-109,2026-09-06T15:00:00,6,15,28,22.7,0.0,2,ORGANIC,29
BIN-109,2026-09-16T08:00:00,2,8,41,15.8,0.0,14,HAZARDOUS,52
BIN-107,2026-09-03T22:00:00,3,22,62,9.7,0.0,5,RECYCLABLE,69
BIN-111,2026-09-15T13:00:00,1,13,13,22.9,0.0,46,GENERAL,92
BIN-110,2026-09-19T11:00:00,5,11,27,21.8,0.0,46,RECYCLABLE,87
BIN-105,2026-09-06T09:00:00,6,9,51,17.3,0.0,2,HAZARDOUS,53
BIN-118,2026-09-04T02:00:00,4,2,13,6.2,0.0,6,ELECTRONIC,14
BIN-125,2026-09-10T01:00:00,3,1,21,9.2,0.0,5,ELECTRONIC,20
BIN-115,2026-09-11T06:00:00,4,6,21,12.5,0.0,23,ELECTRONIC,26
BIN-105,2026-09-10T13:00:00,3,13,20,22.8,0.0,4,ELECTRONIC,24
BIN-106,2026-09-08T05:00:00,1,5,71,10.9,0.0,23,RECYCLABLE,77
BIN-118,2026-09-07T04:00:00,0,4,43,8.5,2.9,41,RECYCLABLE,56
BIN-119,2026-09-21T10:00:00,0,10,26,19.6,0.0,10,ELECTRONIC,32
BIN-119,2026-09-02T05:00:00,2,5,10,11.1,0.0,6,ORGANIC,10
BIN-109,2026-09-15T05:00:00,1,5,58,9.8,4.0,37,RECYCLABLE,67
BIN-110,2026-09-11T15:00:00,4,15,56,21.9,0.3,44,RECYCLABLE,91
BIN-115,2026-09-10T04:00:00,3,4,31,7.4,3.9,30,HAZARDOUS,38
BIN-112,2026-09-22T03:00:00,1,3,52,7.3,1.1,9,HAZARDOUS,59
BIN-104,2026-09-07T00:00:00,0,0,23,6.5,0.0,16,HAZARDOUS,34
BIN-108,2026-09-21T20:00:00,0,20,45,13.8,4.5,21,RECYCLABLE,75
BIN-115,2026-09-11T23:00:00,4,23,7,7.7,0.0,32,GENERAL,40
BIN-119,2026-09-08T20:00:00,1,20,41,15.0,0.0,4,ORGANIC,49
BIN-121,2026-09-15T16:00:00,1,16,73,20.0,0.6,19,HAZARDOUS,89
BIN-113,2026-09-09T03:00:00,2,3,11,7.6,2.5,26,ORGANIC,23
BIN-103,2026-09-09T13:00:00,2,13,75,21.8,0.0,29,ELECTRONIC,100
BIN-104,2026-09-09T17:00:00,2,17,51,21.7,2.3,22,GENERAL,75
BIN-117,2026-09-02T04:00:00,2,4,22,8.9,0.0,3,ORGANIC,22
BIN-117,2026-09-04T07:00:00,4,7,45,11.6,0.0,40,GENERAL,88
BIN-124,2026-09-19T07:00:00,5,7,48,13.0,0.0,38,GENERAL,87
BIN-116,2026-09-18T17:00:00,4,17,47,21.4,0.0,24,ORGANIC,76
BIN-119,2026-09-07T21:00:00,0,21,65,12.0,0.0,39,ORGANIC,100
BIN-108,2026-09-16T17:00:00,2,17,66,19.3,0.0,38,ORGANIC,100
BIN-120,2026-09-17T20:00:00,3,20,36,13.1,0.0,10,HAZARDOUS,49
BIN-111,2026-09-10T06:00:00,3,6,31,10.6,0.0,27,RECYCLABLE,38
BIN-116,2026-09-19T22:00:00,5,22,22,11.1,0.0,46,ORGANIC,80
BIN-113,2026-09-08T00:00:00,1,0,73,7.4,0.0,30,RECYCLABLE,97
BIN-125,2026-09-19T20:00:00,5,20,66,13.8,0.0,40,GENERAL,100
BIN-110,2026-09-17T18:00:00,3,18,31,19.8,0.0,46,GENERAL,100
BIN-116,2026-09-08T18:00:00,1,18,40,18.2,0.0,47,ELECTRONIC,98
BIN-113,2026-09-18T19:00:00,4,19,42,15.2,0.0,10,GENERAL,58
BIN-103,2026-09-08T17:00:00,1,17,37,21.6,0.0,42,HAZARDOUS,72
BIN-118,2026-09-16T04:00:00,2,4,18,8.5,0.0,9,GENERAL,20
BIN-108,2026-09-02T09:00:00,2,9,34,15.3,0.0,15,ELECTRONIC,46
BIN-125,2026-09-04T06:00:00,4,6,25,10.6,0.0,36,ORGANIC,37
BIN-116,2026-09-11T12:00:00,4,12,46,21.1,3.5,19,RECYCLABLE,71
BIN-124,2026-09-16T18:00:00,2,18,58,20.5,4.1,12,ORGANIC,82
BIN-113,2026-09-18T03:00:00,4,3,42,8.8,2.6,12,HAZARDOUS,49
BIN-110,2026-09-11T00:00:00,4,0,68,9.6,2.3,34,ELECTRONIC,99
BIN-109,2026-09-05T10:00:00,5,10,25,19.9,0.0,22,ORGANIC,52
BIN-111,2026-09-18T04:00:00,4,4,29,6.8,0.0,37,GENERAL,41
BIN-113,2026-09-18T23:00:00,4,23,46,7.7,0.0,33,HAZARDOUS,73
BIN-111,2026-09-21T07:00:00,0,7,38,12.5,0.0,1,RECYCLABLE,40
BIN-109,2026-09-21T16:00:00,0,16,6,21.0,0.0,20,GENERAL,28
BIN-115,2026-09-07T21:00:00,0,21,69,14.6,0.0,26,RECYCLABLE,100
BIN-125,2026-09-07T23:00:00,0,23,42,8.8,0.0,41,ORGANIC,93
BIN-115,2026-09-17T06:00:00,3,6,58,11.8,0.0,24,ELECTRONIC,63
BIN-125,2026-09-12T19:00:00,5,19,15,17.2,0.0,16,RECYCLABLE,34
BIN-104,2026-09-02T15:00:00,2,15,30,23.0,1.5,33,ELECTRONIC,60
BIN-117,2026-09-10T18:00:00,3,18,31,19.9,0.0,44,ORGANIC,100
BIN-102,2026-09-11T00:00:00,4,0,58,7.9,2.1,33,RECYCLABLE,85
BIN-110,2026-09-16T18:00:00,2,18,37,20.3,0.0,26,ORGANIC,87
BIN-112,2026-09-16T06:00:00,2,6,12,12.7,4.2,35,ORGANIC,26
BIN-102,2026-09-07T10:00:00,0,10,22,20.1,0.0,12,HAZARDOUS,31
BIN-113,2026-09-10T21:00:00,3,21,15,13.7,0.0,25,HAZARDOUS,46
BIN-118,2026-09-04T04:00:00,4,4,27,10.0,0.0,8,GENERAL,32
BIN-101,2026-09-17T11:00:00,3,11,64,21.4,0.0,20,ORGANIC,100
BIN-118,2026-09-09T10:00:00,2,10,63,18.4,0.0,16,RECYCLABLE,78
BIN-104,2026-09-02T00:00:00,2,0,7,7.0,2.7,40,HAZARDOUS,40
BIN-115,2026-09-14T02:00:00,0,2,10,6.6,0.0,16,ORGANIC,16
BIN-102,2026-09-04T07:00:00,4,7,34,14.2,0.0,19,ELECTRONIC,52
BIN-111,2026-09-13T15:00:00,6,15,46,21.7,0.0,44,ELECTRONIC,83
BIN-114,2026-09-07T17:00:00,0,17,27,21.2,0.0,4,GENERAL,31
BIN-116,2026-09-02T08:00:00,2,8,53,16.1,0.0,42,GENERAL,98
BIN-113,2026-09-05T06:00:00,5,6,35,12.4,0.0,31,ELECTRONIC,43
BIN-123,2026-09-04T09:00:00,4,9,57,18.9,0.0,4,HAZARDOUS,61
BIN-107,2026-09-08T09:00:00,1,9,52,15.4,0.0,29,ORGANIC,88
BIN-107,2026-09-02T10:00:00,2,10,10,20.5,3.4,25,GENERAL,38
BIN-116,2026-09-05T18:00:00,5,18,6,17.8,3.3,20,GENERAL,40
BIN-124,2026-09-17T10:00:00,3,10,31,18.6,0.0,16,HAZARDOUS,43
BIN-115,2026-09-12T17:00:00,5,17,38,20.1,0.0,20,GENERAL,61
